map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-2,100,0,tb_step_w10,True,2833,65,2232,514.1,6900,69
random32-20,random-32-32-20-random-1,200,2,tb_step_wall,True,6669,82,4429,3680.4,208000,1040
random32-20,random-32-32-20-random-2,100,1,vanilla,True,2996,58,2232,44.9,0,0
random32-20,random-32-32-20-random-2,100,0,tb_start_w10,True,4224,138,2232,382.4,100,1
random32-20,random-32-32-20-random-1,200,2,tb_agent_w10,True,7385,133,4429,4593.3,184231,302
random32-20,random-32-32-20-random-1,150,2,tb_start_w10,False,-1,-1,3485,20000.9,150,1
random32-20,random-32-32-20-random-2,100,0,pen0.1_step_w10,True,2833,65,2232,476.5,6900,69
random32-20,random-32-32-20-random-2,100,1,tb_step_w10,True,2709,64,2232,445.0,6600,66
random32-20,random-32-32-20-random-2,100,2,vanilla,True,2900,56,2232,51.5,0,0
random32-20,random-32-32-20-random-2,100,1,tb_start_w10,True,4093,133,2232,402.5,100,1
random32-20,random-32-32-20-random-2,100,0,tb_agent_w10,True,2771,66,2232,1260.6,14397,69
random32-20,random-32-32-20-random-2,100,1,pen0.1_step_w10,True,2711,64,2232,473.5,6600,66
random32-20,random-32-32-20-random-2,100,0,tb_step_wall,True,2786,65,2232,1117.7,6600,66
random32-20,random-32-32-20-random-2,100,2,tb_step_w10,True,2684,61,2232,444.6,6300,63
random32-20,random-32-32-20-random-2,150,0,vanilla,True,5240,90,3322,92.5,0,0
random32-20,random-32-32-20-random-2,100,2,tb_start_w10,True,4126,131,2232,354.3,100,1
random32-20,random-32-32-20-random-2,100,1,tb_agent_w10,True,2710,62,2232,1241.1,12703,63
random32-20,random-32-32-20-random-2,100,1,tb_step_wall,True,2783,61,2232,1116.9,6200,62
random32-20,random-32-32-20-random-2,100,2,tb_step_wall,True,2759,62,2232,678.7,6300,63
random32-20,random-32-32-20-random-2,100,2,pen0.1_step_w10,True,2680,61,2232,756.9,6300,63
random32-20,random-32-32-20-random-2,150,0,tb_step_w10,True,4468,76,3322,712.3,12450,83
random32-20,random-32-32-20-random-2,150,0,tb_start_w10,True,5910,140,3322,572.1,150,1
random32-20,random-32-32-20-random-2,150,1,vanilla,True,4820,58,3322,140.0,0,0
random32-20,random-32-32-20-random-2,100,2,tb_agent_w10,True,2714,62,2232,1239.2,12702,63
random32-20,random-32-32-20-random-2,150,0,pen0.1_step_w10,True,4468,76,3322,751.6,12450,83
random32-20,random-32-32-20-random-1,200,1,tb_agent_w10,True,7233,97,4429,12246.1,1720597,2999
random32-20,random-32-32-20-random-2,150,1,tb_step_w10,True,4545,84,3322,719.6,13050,87
random32-20,random-32-32-20-random-2,150,2,vanilla,True,4986,84,3322,89.7,0,0
random32-20,random-32-32-20-random-2,150,1,tb_start_w10,True,6028,144,3322,739.3,150,1
random32-20,random-32-32-20-random-1,200,0,tb_start_w10,False,-1,-1,4429,20001.0,200,1
random32-20,random-32-32-20-random-2,150,1,pen0.1_step_w10,True,4516,82,3322,767.4,12750,85
random32-20,random-32-32-20-random-2,150,0,tb_agent_w10,True,4514,75,3322,1990.3,25658,80
random32-20,random-32-32-20-random-2,150,0,tb_step_wall,True,4357,56,3322,1662.2,8550,57
random32-20,random-32-32-20-random-2,150,2,tb_step_w10,True,4441,73,3322,703.7,11550,77
random32-20,random-32-32-20-random-2,150,2,tb_start_w10,True,6214,156,3322,633.7,150,1
random32-20,random-32-32-20-random-2,200,0,vanilla,True,8956,168,4466,313.2,0,0
random32-20,random-32-32-20-random-2,150,1,tb_step_wall,True,4467,72,3322,1680.8,10950,73
random32-20,random-32-32-20-random-2,150,2,pen0.1_step_w10,True,4451,73,3322,752.1,11550,77
random32-20,random-32-32-20-random-2,150,2,tb_agent_w10,True,4761,94,3322,1318.2,31076,96
random32-20,random-32-32-20-random-2,150,1,tb_agent_w10,True,4651,80,3322,2066.9,26142,83
random32-20,random-32-32-20-random-2,150,2,tb_step_wall,True,4710,83,3322,1117.4,13200,88
random32-20,random-32-32-20-random-2,200,1,vanilla,True,9749,168,4466,186.8,0,0
random32-20,random-32-32-20-random-2,200,1,tb_start_w10,True,12891,252,4466,767.9,200,1
random32-20,random-32-32-20-random-2,200,1,tb_step_w10,True,6631,81,4466,1099.1,16800,84
random32-20,random-32-32-20-random-2,200,0,tb_step_w10,True,6629,93,4466,1781.3,19000,95
random32-20,random-32-32-20-random-2,200,2,vanilla,True,7353,75,4466,115.9,0,0
random32-20,random-32-32-20-random-2,200,0,tb_agent_w10,True,7382,110,4466,2113.4,47446,115
